user_id,day,date,weight,recommended_meal,actual_meal,calories
1e752c92-6c4e-4c29-8fd5-8952dacb2dba,1,2025-11-27,167.23,Kamut:270.62; Lentils:449.26; Pumpkin:3006.58; Dragonfruit:868.57; Hemp Seeds:259.16; Milk:930.61,Kamut:332.46; Dragonfruit:920.86; Split Peas:593.48; Watercress:1976.88; Mustard Oil:170.17; Evaporated Milk:1083.51,5557.73
1e752c92-6c4e-4c29-8fd5-8952dacb2dba,2,2025-11-28,169.9,Rice:413.00; Crab:316.29; Bok Choy:3540.00; Kiwi:502.95; Cashews:152.57; Mozzarella:82.18,Rice:456.43; Crab:473.13; Bok Choy:4783.04; Mozzarella:111.48; Cantaloupe:698.43; Flaxseed Oil:157.29,3614.14
1e752c92-6c4e-4c29-8fd5-8952dacb2dba,3,2025-11-29,168.03,Oats:130.04; Tofu:380.34; Mustard Greens:1605.89; Plum:628.39; Peanuts:140.20; Cheese:53.93,Tofu:451.90; Mustard Greens:2010.07; Plum:840.92; Cheese:62.89; Rye:184.83; Palm Oil:100.88,3042.3
1e752c92-6c4e-4c29-8fd5-8952dacb2dba,4,2025-11-30,169.61,Grits:886.27; Egg:192.77; Broccoli:814.91; Date:105.96; Peanuts:144.92; Edam:62.77,Egg:288.62; Wheat:1164.99; Radish:960.67; Watermelon:128.19; Chia Seeds:183.98; Labneh:46.21,5511.18
1e752c92-6c4e-4c29-8fd5-8952dacb2dba,5,2025-12-01,162.06,Bulgur:606.05; Rabbit:166.15; Onion:1077.90; Papaya:668.47; Chia Seeds:162.65; Ricotta:123.90,Rabbit:160.84; Chia Seeds:229.92; Ricotta:90.29; Oats:324.59; Eggplant:1509.31; Durian:818.91,4396.53
1e752c92-6c4e-4c29-8fd5-8952dacb2dba,6,2025-12-02,159.47,Brown Rice:524.27; Venison:210.47; Cucumber:3117.56; Raspberry:639.50; Hemp Seeds:165.37; Emmental:65.63,Brown Rice:686.60; Cucumber:4358.77; Emmental:80.96; Lamb:238.24; Watermelon:799.32; Poppy Seeds:260.85,4076.85
1e752c92-6c4e-4c29-8fd5-8952dacb2dba,7,2025-12-03,155.09,Muesli:173.66; Mackerel:169.42; Cauliflower:2083.92; Watermelon:1157.73; Canola Oil:108.05; Emmental:68.55,Watermelon:1267.38; Emmental:111.70; Granola:230.70; Kidney Beans:85.28; Radish:2727.24; Linseed Oil:111.42,3420.88
1e752c92-6c4e-4c29-8fd5-8952dacb2dba,8,2025-12-04,158.23,Cornbread:330.24; Octopus:227.83; Kale:1143.80; Honeydew:1037.89; Sesame Seeds:179.32; Cheese:69.71,Cornbread:496.69; Octopus:242.65; Honeydew:1417.33; Sesame Seeds:219.99; Cheese:74.34; Tomato:730.08,3582.43
1e752c92-6c4e-4c29-8fd5-8952dacb2dba,9,2025-12-05,159.93,Cracked Wheat:181.52; Rabbit:203.85; Sweet Potato:615.10; Lychee:534.33; Walnuts:148.29; Cheddar:65.63,Cracked Wheat:202.02; Lychee:342.16; Walnuts:110.73; Cheddar:73.20; Chicken Breast:282.74; Radicchio:453.37,2502.62
1e752c92-6c4e-4c29-8fd5-8952dacb2dba,10,2025-12-06,158.98,Semolina:165.52; Peas:420.37; Zucchini:3004.41; Apricot:709.38; Walnut Oil:105.92; Kefir:622.87,Semolina:211.04; Chicken Breast:560.30; Eggplant:4917.88; Passion Fruit:633.38; Coconut Oil:84.60; Ricotta:418.30,4985.16
